index,question,reponse
1,"Quelle est la capitale de la France ?","Paris"
2,"Quel est le plus grand océan du monde ?","Océan Pacifique"
3,"Qui a peint La Joconde ?","Léonard de Vinci"
4,"En quelle année a eu lieu la Révolution française ?","1789"
5,"Quel est l'élément chimique dont le symbole est H ?","Hydrogène"
6,"Combien y a-t-il de continents dans le monde ?","7"
7,"Qui a écrit Roméo et Juliette ?","William Shakespeare"
8,"Quel est le plus grand pays du monde en superficie ?","Russie"
9,"Quelle planète est surnommée la planète rouge ?","Mars"
10,"Quel est l'animal terrestre le plus rapide ?","Guépard"
